"","MasterID","county","huc","smcshed","smc_lu","COMID","psa6c","strcls","lower","meds","upper","csci_sampledate","CSCI","yr","h_asci_max","ASCI","TN","total_n_rep_calc","TP","total_p_rep_calc","Cond","IPI","ev_flowhab","Ev_FlowHab","h_aqhab","H_AqHab","h_subnat","H_SubNat","pct_safn","PCT_SAFN","pct_safn_pred","xcmg","XCMG","xcmg_pred","pct_rc","indexscore_cram","bs","blc","hy","ps","psa2","missing_habitat","missing_chemistry","missing_cram","data_complete","filled_columns","Ev_FlowHab_raw","H_AqHab_raw","H_SubNat_raw","PCT_SAFN_raw","XCMG_raw","cnty","SMC_Name","RBNAME","geometry","pChem","pHab","pChemHab","BiologicalCondition","WaterChemistryCondition","HabitatCondition","OverallStressCondition","OverallStressCondition_detail","StreamHealthIndex","all_there"
"320","SMC06794","San Diego",909,"Southern San Diego","Open","20334440",NA,"possibly unconstrained",0.56667637,0.81688012,1.06102899,2012-07-18,0.89391993,2012,"0.691931349","0.718570065",0.22,0.22,0.042,0.042,547,1.15,0.81,0.85,1.53,0.82,1.65,0.87,28,1,44.3,138,0.86,118.16,0,87,81,100,92,75,"Arid","NO","NO","NO","YES","",0.81,1.53,1.65,28,138,"San Diego","Southern San Diego","San Diego",c(-116.64687, 32.83039),0.490147477270987,0.164937392064617,0.574241222707477,"Impacted for ASCI","Moderate","Moderate","Moderate","Low stress","Impacted by unknown stress",TRUE
"321","SMC02075","Ventura",403,"Santa Clara","Open","17567333","SC","possibly unconstrained",0.7688072,0.95418654,1.1551547,2012-07-17,0.77829672,2012,"0.833675612","0.999390685",0,0,0.025,0.025,891,0.76,0.05,0.03,1.54,0.81,1.63,0.86,50,0.49,26.17,91,0.64,108.99,0,82,81,100,83,63,"Arid","NO","NO","NO","YES","",0.05,1.54,1.63,50,91,"Ventura","Santa Clara","Los Angeles",c(-119.03758, 34.6719),0.480646269428451,0.747267742241166,0.868742559097179,"Impacted for CSCI","Moderate","Moderate","Moderate","Low stress","Impacted by unknown stress",TRUE
"322","403S02139","Ventura",403,"Santa Clara","Open","17567345","SC","possibly unconstrained",0.78594359,1.00593823,1.10790222,2012-07-17,1.10546907,2012,"1.065558991","1.149822301",0,0,0.022,NA,431.5,0.99,0.61,0.63,1.72,0.94,1.86,0.98,29,0.74,25.05,91,0.61,114.29,0,88,86,100,92,75,"Arid","NO","NO","NO","YES","",0.61,1.72,1.86,29,91,"Ventura","Santa Clara","Los Angeles",c(-119.01717, 34.6714),0.215101095587954,0.37841199286881,0.512116254207062,"Healthy","Moderate","Moderate","Moderate","Low stress","Healthy and unstressed",TRUE
"323","SMC06298","San Diego",909,"Southern San Diego","Open","20332758","SC","possibly unconstrained",0.57331886,0.91410213,1.08847024,2012-07-17,0.95493509,2012,"0.814109655","0.842821097",0.29,0.29,0.088,0.088,398,1.04,0.6,0.62,1.36,0.69,1.48,0.78,58,0.63,45.37,166,1,115.72,0,88,78,100,100,75,"Arid","NO","NO","NO","YES","",0.6,1.36,1.48,58,166,"San Diego","Southern San Diego","San Diego",c(-116.57126, 32.91213),0.586652203934953,0.183935768555098,0.662681648484733,"Healthy","Moderate","Moderate","Moderate","Low stress","Healthy and unstressed",TRUE
"324","SMC06918","San Diego",906,"Mission Bay and San Diego River","Urban","20331496","SC","likely constrained",0.28504476,0.4403436,0.75718332,2012-07-16,0.62178753,2012,"0.495768589","0.491528338",0.95,0.95,0.28,0.28,3912,0.97,0.67,0.7,1.53,0.81,1.03,0.54,71,0.63,57.91,167,0.87,145.56,0,76,69,92,67,75,"Arid","NO","NO","NO","YES","",0.67,1.53,1.03,71,167,"San Diego","Mission Bay and San Diego River","San Diego",c(-117.184, 32.78184),0.99997165234518,0.870005352162432,0.999996314956595,"Impacted for CSCI and ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",TRUE
"325","SMC19228","San Diego",909,"Southern San Diego","Agricultural","20334494",NA,"possibly constrained",0.36437019,0.67245992,0.87806861,2012-07-16,0.65905506,2012,"0.751739113","0.595144703",5.1,5.1,0.16,0.16,5403,1.07,0.69,0.72,1.66,0.92,1.73,0.91,12,1,65.59,126,0.66,140.83,1,49,58,58,42,38,"Arid","NO","NO","NO","YES","",0.69,1.66,1.73,12,126,"San Diego","Southern San Diego","San Diego",c(-116.98501, 32.66405),0.999999296205739,0.971252451620107,0.99999997976764,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"326","SMC07126","San Diego",907,"Mission Bay and San Diego River","Urban","948070393",NA,NA,NA,NA,NA,2012-07-12,0.33340554,2012,"0.405158151","0.522587713",2,2,0.27,0.27,2508,1.15,0.86,0.9,1.61,0.92,1.56,0.82,56,0.79,55.9,170,0.91,141.91,0,84,72,100,75,88,"Arid","NO","NO","NO","YES","",0.86,1.61,1.56,56,170,"San Diego","Mission Bay and San Diego River","San Diego",c(-117.03457, 32.84359),0.999310172312754,0.643157336480124,0.999753840050713,"Impacted for CSCI and ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",TRUE
"327","907S11430","San Diego",907,"Mission Bay and San Diego River","Urban","20332934","SC","possibly constrained",0.46793541,0.77749817,1.0418361,2012-07-12,0.86676941,2012,"0.520511372","0.402401551",15,15,0.12,0.12,1187,0.43,0.37,0.37,1.12,0.48,0.69,0.36,79,0.31,49.87,47,0.21,138.51,9,36,36,42,42,25,"Arid","NO","NO","NO","YES","",0.37,1.12,0.69,79,47,"San Diego","Mission Bay and San Diego River","San Diego",c(-116.86004, 32.84837),0.982167318962093,0.997993727597895,0.999964222784178,"Impacted for ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"328","802S37697","Riverside",802,"San Jacinto","Urban","22534630","SC","likely constrained",0.21293414,0.44864411,0.71721435,2012-07-12,0.42280199,2012,"0.598874694","0.492884791",1.6,1.6,0.037,NA,665,0.04,0,0,0,0,0,0,1,0.17,50.48,0,0,127.73,99,36,25,67.67,25,25,"Arid","NO","NO","NO","YES","",0,0,0,1,0,"Riverside","San Jacinto","Santa Ana",c(-117.21403, 33.87962),0.688841724814731,0.999811110922654,0.999941225600492,"Impacted for CSCI and ASCI","Moderate","Severe","Severe","Stressed by habitat degradation","Impacted and stressed",TRUE
"329","SMC03222","San Diego",905,"Central San Diego","Urban","20328660","SC","likely constrained",0.25929838,0.44890427,0.68714199,2012-07-11,0.58573482,2012,"0.719177138","0.681119964",1.8,1.8,0.14,0.14,2112,0.48,0.93,0.98,0.84,0.41,0,0,3,0.26,57.48,60,0.28,140.77,97,29,31,25,33,25,"Arid","NO","NO","NO","YES","",0.93,0.84,0,3,60,"San Diego","Central San Diego","San Diego",c(-117.06725, 33.02209),0.996342054992335,0.999205100380953,0.999997092300907,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"330","909S14218","San Diego",909,"Southern San Diego","Urban","20333018","SC","possibly unconstrained",0.4864313,0.79792229,1.10469805,2012-07-11,0.9963932,2012,"0.458030281","0.436919411",0.67,0.67,0.11,0.11,1050,1.1,0.65,0.68,1.88,0.91,1.66,0.87,50,0.75,46.34,168,0.91,139.1,0,85,83,92,75,88,"Arid","NO","NO","NO","YES","",0.65,1.88,1.66,50,168,"San Diego","Southern San Diego","San Diego",c(-116.73603, 32.82998),0.918616965942944,0.670092311946477,0.973151111387455,"Impacted for ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",TRUE
"331","801S04078","San Bernardino",801,"Middle Santa Ana","Urban","22560356","SC","likely constrained",0.31705572,0.50528433,0.72638622,2012-07-11,0.56358396,2012,"0.740874344","0.571145963",3.8,3.8,0.06,0.06,1135,0.27,0,0,0.59,0.39,0.3,0.16,0,0.24,46.34,10,0.22,100.11,90,36,25,62.5,33.33,25,"Arid","NO","NO","NO","YES","",0,0.59,0.3,0,10,"San Bernardino","Middle Santa Ana","Santa Ana",c(-117.72327, 33.99762),0.936533257520856,0.99928882522512,0.999954864053705,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"332","801S01783","San Bernardino",801,"Upper Santa Ana","Open","22555344","SC","possibly unconstrained",0.51096103,0.86791156,1.02792074,2012-07-11,1.1815093,2012,"0.808897822","0.854247913",0.68,0.68,0.02,0.02,358.6,1.06,0.59,0.61,1.22,0.64,1.91,1,13,0.95,25.27,127,0.83,112.43,0,81,72,92,81,75,"Arid","NO","NO","YES","YES","cram_score,cram_bioticstructure,cram_bufferandladscapecontext,cram_hydrology,cram_physicalstructure",0.59,1.22,1.91,13,127,"San Bernardino","Upper Santa Ana","Santa Ana",c(-117.27275, 34.19018),0.32369127520408,0.410752288798132,0.60148663184815,"Healthy","Moderate","Moderate","Moderate","Low stress","Healthy and unstressed",TRUE
"333","SMC05146","San Diego",909,"Southern San Diego","Open","20332968","SC","possibly unconstrained",0.56440452,0.86971672,1.06202967,2012-07-10,0.91338881,2012,"0.761573338","0.711499331",0,0,0.085,0.085,518,1.06,0.64,0.66,1.4,0.77,1.03,0.54,38,0.86,43.47,194,1,116.06,0,67,69,83,67,50,"Arid","NO","NO","NO","YES","",0.64,1.4,1.03,38,194,"San Diego","Southern San Diego","San Diego",c(-116.61346, 32.84526),0.519227629186634,0.737387772192894,0.873743296632598,"Impacted for ASCI","Moderate","Moderate","Moderate","Low stress","Impacted by unknown stress",TRUE
"334","801S02567","San Bernardino",801,"Upper Santa Ana","Open","22558736","SC","possibly unconstrained",0.75056405,0.96058089,1.1541604,2012-07-10,1.24094971,2012,"1.122777613","0.940145706",0.37,0.37,0.44,0.44,167.5,1.03,0.6,0.62,1.51,0.79,1.74,0.92,14,0.87,20.17,111,0.74,111.37,0,81,72,92,81,75,"Arid","NO","NO","YES","YES","cram_score,cram_bioticstructure,cram_bufferandladscapecontext,cram_hydrology,cram_physicalstructure",0.6,1.51,1.74,14,111,"San Bernardino","Upper Santa Ana","Santa Ana",c(-116.89688, 34.18472),0.815476413506665,0.500935930475882,0.907910908001451,"Healthy","Moderate","Moderate","Severe","Stressed by low levels of chemistry or habitat degradation","Healthy and resilient",TRUE
"335","SMC01413","San Diego",903,"Northern San Diego","Open","20343191","SC","likely unconstrained",0.83398613,1.03493868,1.13468535,2012-07-09,0.8784077,2012,"1.08992653","1.062223429",0.34,0.34,0.0885,0.0885,485,1.17,0.56,0.579999999999999,1.56,0.780000000000001,1.98,1,30,1,52.09,182,1,114.96,0,91,89,100,100,75,"Arid","NO","NO","NO","YES","",0.56,1.56,1.98,30,182,"San Diego","Northern San Diego","San Diego",c(-116.80627, 33.30552),0.649110604641873,0.0694378264256684,0.673475601571358,"Healthy","Moderate","Low","Moderate","Low stress","Healthy and unstressed",TRUE
"336","SMC04121","San Diego",904,"Central San Diego","Urban","20341843","SC","possibly constrained",0.38447435,0.57637225,0.82106787,2012-07-09,0.51538713,2012,"0.552059169","0.440783461",15,15,0.11,0.11,1315,0.89,0,0,1.48,0.75,1.4,0.74,75,0.59,58.94,183,1,136.7,0,68,64,92,67,50,"Arid","NO","NO","NO","YES","",0,1.48,1.4,75,183,"San Diego","Central San Diego","San Diego",c(-117.19833, 33.18466),0.985737713254732,0.862844076929076,0.998043842896351,"Impacted for CSCI and ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",TRUE
"337","801S04471","San Bernardino",801,"Upper Santa Ana","Urban","22555900","SC","possibly constrained",0.48430195,0.69512597,0.93680415,2012-07-09,0.75296155,2012,"0.781756051","0.737422224",0.29,0.29,0.19,0.19,310.6,0.81,0.94,0.99,1.3,0.68,1.49,0.78,16,1,38.88,15,0.12,122.19,0,60,47.22,71.04,83.33,37.5,"Arid","NO","NO","NO","YES","",0.94,1.3,1.49,16,15,"San Bernardino","Upper Santa Ana","Santa Ana",c(-117.14756, 34.11107),0.71043208249628,0.563127117511832,0.873495629204054,"Impacted for CSCI and ASCI","Moderate","Moderate","Moderate","Low stress","Impacted by unknown stress",TRUE
"338","801S01805","Riverside",801,"Upper Santa Ana","Open","22560368","SC","possibly constrained",0.3628104,0.54553649,0.93284074,2012-07-09,0.6658545,2012,NA,"1.023242784",2.81,2.81,3.4,NA,678,1.05,0.98,1,1.64,0.9,1.46,0.77,20,1,36.29,93,0.57,123.6,0,74,63.89,100,83.33,50,"Arid","NO","NO","NO","YES","",0.98,1.64,1.46,20,93,"Riverside","Upper Santa Ana","Santa Ana",c(-117.14229, 33.98668),0.996335126042108,0.407561471460975,0.997828787465105,"Impacted for CSCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",TRUE
"339","SMC01689","San Diego",903,"Northern San Diego","Urban","20341709","SC","possibly constrained",0.43223888,0.67282066,0.94424055,2012-07-05,0.29680618,2012,"0.34459327","0.304725816",0.32,0.32,0.12,0.12,1584,0.96,0.83,0.87,1.25,0.71,0.75,0.39,82,0.42,52.41,191,1,114.57,0,79,89,92,58,75,"Arid","NO","NO","NO","YES","",0.83,1.25,0.75,82,191,"San Diego","Northern San Diego","San Diego",c(-117.23574, 33.26814),0.972747319284567,0.961666639992915,0.998955313178977,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"340","SMC03929","San Diego",904,"Central San Diego","Urban","20342541","SC","likely constrained",0.33194571,0.44890427,0.64796172,2012-07-05,0.73059828,2012,"0.388840554","0.442841355",1.3,1.3,0.047,NA,2189,1.25,0.93,0.98,1.7,0.91,1.87,0.98,40,0.98,55.78,169,0.93,137.12,1,85,83,92,75,88,"Arid","NO","NO","NO","YES","",0.93,1.7,1.87,40,169,"San Diego","Central San Diego","San Diego",c(-117.30453, 33.17865),0.99047061168378,0.498380774394077,0.99521987561232,"Impacted for CSCI and ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",TRUE
"341","SMC16045","Riverside",801,"Middle Santa Ana","Urban","22563104","SC","likely constrained",0.20878567,0.42623732,0.59945899,2012-06-28,0.50959439,2012,"0.589711064","0.631390304",6.2,6.2,0.15,0.15,991,0.25,0,0,1.09,0.59,0.68,0.36,35,0.15,48.8,2,0.02,126.91,65,33,25,25,58,25,"Arid","NO","NO","NO","YES","",0,1.09,0.68,35,2,"Riverside","Middle Santa Ana","Santa Ana",c(-117.52249, 33.8819),0.968000121013726,0.995488008438389,0.999855616816041,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"342","SMC24921","Riverside",801,"Middle Santa Ana","Urban","22560746","SC","likely constrained",0.23332572,0.4735749,0.63383429,2012-06-28,0.24973304,2012,"0.68696501","0.727442259",3.5,3.5,0.9,0.9,1280,0.35,0,0,0.89,0.58,0.59,0.31,49,0.16,49.57,5,0.27,87.69,51,33,25,25,58,25,"Arid","NO","NO","NO","YES","",0,0.89,0.59,49,5,"Riverside","Middle Santa Ana","Santa Ana",c(-117.55361, 33.87828),0.996824844402054,0.993424280186426,0.999979121066423,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"343","403S06139","Ventura",403,"Santa Clara","Open","17568009","SC","possibly unconstrained",0.73262099,1.00306461,1.12551473,2012-06-27,0.51029031,2012,"0.844394656","0.737287643",0.208,0.208,0.0251,NA,1032,0.97,0.52,0.54,1.35,0.65,1.63,0.86,12,1,33.49,89,0.68,100.53,0,81,69,92,75,88,"Arid","NO","NO","NO","YES","",0.52,1.35,1.63,12,89,"Ventura","Santa Clara","Los Angeles",c(-119.2405, 34.55464),0.670443324236446,0.570186615733443,0.85835212988243,"Impacted for CSCI and ASCI","Moderate","Moderate","Moderate","Low stress","Impacted by unknown stress",TRUE
"344","403S06315","Ventura",403,"Santa Clara","Open","17567721","SC","possibly unconstrained",0.64084245,0.97588289,1.12551473,2012-06-27,0.92119231,2012,"1.023524074","0.938538322",0.23,0.23,0.0314,NA,1165,1.11,0.55,0.57,1.78,0.95,1.58,0.83,41,0.73,36.21,157,1,96.4,0,83,86,92,67,88,"Arid","NO","NO","NO","YES","",0.55,1.78,1.58,41,157,"Ventura","Santa Clara","Los Angeles",c(-119.31033, 34.59223),0.775185356975563,0.80546959250125,0.95626671588077,"Healthy","Moderate","Moderate","Severe","Stressed by low levels of chemistry or habitat degradation","Healthy and resilient",TRUE
"345","403S07227","Ventura",403,"Santa Clara","Open","17567931","SC","possibly unconstrained",0.73891616,1.02354412,1.13409801,2012-06-27,0.6750434,2012,"1.097028106","1.034922372",0.20225,0.379,0.02275,0.0237,1016,1.01,0.42,0.43,1.49,0.74,1.73,0.91,31,0.74,26.34,140,0.9,113.83,0,78,64,92,67,88,"Arid","NO","NO","NO","YES","",0.42,1.49,1.73,31,140,"Ventura","Santa Clara","Los Angeles",c(-119.16664, 34.56208),0.643335293380019,0.822079071827021,0.93654188435163,"Impacted for CSCI","Moderate","Moderate","Severe","Stressed by low levels of chemistry or habitat degradation","Impacted and stressed",TRUE
"346","SMC05296","Ventura",403,"Santa Clara","Open","17570065","SC","possibly unconstrained",0.34999173,0.7979098,1.10882053,2012-06-26,0.93834398,2012,"1.064762842","0.947961606",0,0,0.0076,0.0076,807,1.01,0.55,0.57,1.54,0.92,1.99,1,13,0.91,22.29,63,0.61,85.84,0,83,78,100,67,88,"Arid","NO","NO","NO","YES","",0.55,1.54,1.99,13,63,"Ventura","Santa Clara","Los Angeles",c(-118.77525, 34.55457),0.265906988486958,0.806471872846523,0.857932354325425,"Healthy","Moderate","Moderate","Moderate","Low stress","Healthy and unstressed",TRUE
"347","404S26868","Los Angeles",404,"Santa Monica Bay","Urban","20364949","SC","possibly unconstrained",0.42408203,0.82471162,1.12459047,2012-06-26,0.7427548,2012,"0.513117269","0.48997477",5.08,5.08,0.145,NA,3537,1.08,0.86,0.9,1.64,0.78,1.32,0.69,37,0.87,42.9,156,0.85,138.04,0,69,75,92,58,50,"Arid","NO","NO","NO","YES","",0.86,1.64,1.32,37,156,"Los Angeles","Santa Monica Bay","Los Angeles",c(-118.71737, 34.09675),0.999926096623302,0.889651517717506,0.999991844874546,"Impacted for CSCI and ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",TRUE
"348","404S32468","Los Angeles",404,"Santa Monica Bay","Open","20364957","SC","possibly constrained",0.42137711,0.71949739,0.99480666,2012-06-26,0.64331943,2012,"0.929121088","0.776640216",0.498,0.498,0.0647,0.0647,1764,0.63,0.19,0.18,1.23,0.6,1.61,0.85,12,1,43.27,15,0.12,123.07,0,70,39,92,75,75,"Arid","NO","NO","NO","YES","",0.19,1.23,1.61,12,15,"Los Angeles","Santa Monica Bay","Los Angeles",c(-118.72304, 34.0999),0.972396981945728,0.743458447996145,0.992918678908367,"Impacted for CSCI and ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",TRUE
"349","404S35418","Los Angeles",404,"Santa Monica Bay","Open","20365043","SC","possibly constrained",0.46030791,0.6920309,0.89729398,2012-06-25,0.84446654,2012,"0.818040738","0.62579166",0.7775,0.7775,0.08845,NA,2452,1.12,0.44,0.45,1.73,0.88,1.72,0.91,30,0.960000000000001,43.54,160,0.97,122.32,0,67,58,88,58,63,"Arid","NO","NO","NO","YES","",0.44,1.73,1.72,30,160,"Los Angeles","Santa Monica Bay","Los Angeles",c(-118.70857, 34.08262),0.996616582394517,0.839005643712756,0.999455288860554,"Impacted for ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",TRUE
"350","SMC08655","Ventura",402,"Ventura","Open","17585796","SC","possibly unconstrained",0.67435394,1.03218453,1.16340911,2012-06-21,1.08139288,2012,"0.911502255","0.847074911",0,0,0.0058,NA,905,0.92,0.69,0.72,1.38,0.73,1.95,1,10,0.78,12.11,79,0.48,125.62,3,79,64,92,83,75,"Arid","NO","NO","NO","YES","",0.69,1.38,1.95,10,79,"Ventura","Ventura","Los Angeles",c(-119.28406, 34.50823),0.290830084594232,0.608477863886059,0.72234427985259,"Healthy","Moderate","Moderate","Moderate","Low stress","Healthy and unstressed",TRUE
"351","SMC13391","Ventura",402,"Ventura","Urban","17586810","SC","possibly unconstrained",0.53016957,0.87093767,1.05762904,2012-06-21,0.88988338,2012,"0.522003341","0.608781146",1.2,1.2,0.014,0.014,1263,1.02,0.9,0.95,1.55,0.83,1.74,0.92,17,0.88,23.66,68,0.54,103.69,0,70,58,88,83,50,"Arid","NO","NO","NO","YES","",0.9,1.55,1.74,17,68,"Ventura","Ventura","Los Angeles",c(-119.26998, 34.41791),0.8072859383374,0.51460223754643,0.906457025675635,"Impacted for ASCI","Moderate","Moderate","Severe","Stressed by low levels of chemistry or habitat degradation","Impacted and stressed",TRUE
"352","SMC16446","Ventura",402,"Ventura","Urban","17586810","SC","possibly unconstrained",0.53016957,0.87093767,1.05762904,2012-06-21,0.79919466,2012,"0.807215171","0.833190628",0.57,0.57,0.044,0.044,1306,1.05,0.61,0.63,1.6,0.86,1.9,1,23,0.81,24.57,101,0.74,102.06,0,65,50,88,58,63,"Arid","NO","NO","NO","YES","",0.61,1.6,1.9,23,101,"Ventura","Ventura","Los Angeles",c(-119.27282, 34.41319),0.894971998119858,0.918335237864406,0.991422913208881,"Healthy","Moderate","Severe","Severe","Stressed by habitat degradation","Healthy and resilient",TRUE
"353","SMC01824","Los Angeles",405,"San Gabriel","Urban","22524751","SC","likely constrained",0.31993465,0.54821523,0.75994874,2012-06-21,0.60387461,2012,"0.62999731","0.542920126",6.148,6.056,0.02,NA,856,0.31,0.99,1,0.59,0.26,0,0,4,0,31.35,7,0.08,122.14,96,30,25,38,33,25,"Arid","NO","NO","NO","YES","",0.99,0.59,0,4,7,"Los Angeles","San Gabriel","Los Angeles",c(-117.75598, 34.09116),0.784454210357178,0.999723321469552,0.999940363107677,"Impacted for CSCI and ASCI","Moderate","Severe","Severe","Stressed by habitat degradation","Impacted and stressed",TRUE
"354","404S34120","Los Angeles",404,"Santa Monica Bay","Urban","948070152","SC",NA,NA,NA,NA,2012-06-21,0.59316775,2012,"0.785664154","0.767240576",0.804,0.804,0.18,NA,2832,0.82,0.46,0.47,1.4,0.68,1.36,0.72,59,0.62,45.08,113,0.62,134.41,0,61,56,79,58,50,"Arid","NO","NO","NO","YES","",0.46,1.4,1.36,59,113,"Los Angeles","Santa Monica Bay","Los Angeles",c(-118.78918, 34.16558),0.999341976284346,0.959107193911723,0.999973091563794,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"355","SMC09325","Riverside",902,"Northern San Diego","Agricultural","22547083","SC","possibly constrained",0.50330678,0.7252894,0.96848175,2012-06-21,0.79041753,2012,"0.770951056","0.76233837",0.56,0.56,0.19,0.19,1770,0.78,0.26,0.25,1.87,1,1.27,0.67,81,0.36,46.78,107,0.63,126.88,0,78,81,92,75,63,"Arid","NO","NO","NO","YES","",0.26,1.87,1.27,81,107,"Riverside","Northern San Diego","San Diego",c(-117.12886, 33.56252),0.990670895696613,0.905894996499389,0.999122084606872,"Impacted for ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"356","SMC11593","Riverside",902,"Northern San Diego","Agricultural","22548347",NA,"possibly constrained",0.50620477,0.68864908,1.09602295,2012-06-21,0.92747417,2012,"0.618124119","0.645801789",6.8,6.8,0.03,0.03,1035,0.5,0.21,0.2,1.4,0.68,0.19,0.1,100,0.19,52.04,104,0.56,136.13,0,74,100,92,67,38,"Arid","NO","NO","NO","YES","",0.21,1.4,0.19,100,104,"Riverside","Northern San Diego","San Diego",c(-117.27796, 33.4646),0.888379916220562,0.974621878283499,0.997167291927839,"Impacted for ASCI","Moderate","Severe","Severe","Stressed by habitat degradation","Impacted and stressed",TRUE
"357","404S25298","Los Angeles",404,"Santa Monica Bay","Open","20365167","SC","possibly constrained",0.4063456,0.59271327,0.88582968,2012-06-20,0.72045994,2012,"0.51992562","0.482469876",0.293,0.293,0.438,0.438,1871,1.15,0.79,0.83,1.34,0.68,1.45,0.76,5,1,42.3,172,1,119.47,0,84,61,92,83,100,"Arid","NO","NO","NO","YES","",0.79,1.34,1.45,5,172,"Los Angeles","Santa Monica Bay","Los Angeles",c(-118.68732, 34.04553),0.996199019433858,0.280502343406121,0.997265203389902,"Impacted for CSCI and ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",TRUE
"358","404S28068","Los Angeles",404,"Santa Monica Bay","Urban","20364891","SC","likely constrained",0.34620404,0.5526595,0.73990405,2012-06-20,0.61724713,2012,"0.445404268","0.396801204",2.235,2.235,0.183,NA,3847,0.95,0.4,0.41,1.98,0.99,1.05,0.55,57,0.62,43.18,157,0.88,133.85,0,72,58,79,75,75,"Arid","NO","NO","NO","YES","",0.4,1.98,1.05,57,157,"Los Angeles","Santa Monica Bay","Los Angeles",c(-118.70366, 34.13936),0.999962497294786,0.757471267367767,0.999990904516434,"Impacted for CSCI and ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",TRUE
"359","404S35270","Los Angeles",404,"Santa Monica Bay","Urban","20364891","SC","likely constrained",0.34620404,0.5526595,0.73990405,2012-06-20,0.76386607,2012,"0.616208902","0.487721772",2.335,2.91,0.292,NA,3569,1.06,0.73,0.76,1.73,0.85,1.72,0.91,32,0.88,43.94,131,0.72,135.04,5,59,56,79,50,50,"Arid","NO","NO","NO","YES","",0.73,1.73,1.72,32,131,"Los Angeles","Santa Monica Bay","Los Angeles",c(-118.70656, 34.13325),0.999954892891363,0.953326106249281,0.999997894675604,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"360","SMC04008","Ventura",408,"Calleguas","Urban","948070571","SC",NA,NA,NA,NA,2012-06-19,0.82131893,2012,"0.481897593","0.528744508",3.4,3.4,0.036,0.036,2594,0.85,0.52,0.54,1.5,0.76,1.6,0.84,31,0.95,44.67,58,0.38,120.72,1,81,56,92,75,100,"Arid","NO","NO","NO","YES","",0.52,1.5,1.6,31,58,"Ventura","Calleguas","Los Angeles",c(-118.80803, 34.28342),0.996866261349381,0.700695112840402,0.999062056706789,"Impacted for ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",TRUE
"361","SMC05764","Ventura",408,"Calleguas","Agricultural","948070326","SC",NA,NA,NA,NA,2012-06-19,0.34763697,2012,"0.615517672","0.620745772",34,34,1.4,1.4,2866,0.19,0.47,0.48,0.24,0.03,0.38,0.2,8,0.14,47.97,0,0,128.74,92,38,25,67,33,25,"Arid","NO","NO","NO","YES","",0.47,0.24,0.38,8,0,"Ventura","Calleguas","Los Angeles",c(-119.11091, 34.23123),0.999982742867398,0.999624068972627,0.999999993512508,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"362","SMC05956","Ventura",408,"Calleguas","Urban","17564046","SC","possibly constrained",0.38030649,0.59899188,0.8301873,2012-06-19,0.67964655,2012,"0.552976635","0.492528767",6.6,6.6,1.8,NA,1119,0.85,0.49,0.5,1.73,0.82,1.55,0.82,36,0.97,49.87,71,0.39,132.57,0,67,64,79,75,50,"Arid","NO","NO","NO","YES","",0.49,1.73,1.55,36,71,"Ventura","Calleguas","Los Angeles",c(-118.97109, 34.22875),0.998226005649355,0.685012101380398,0.999441213247327,"Impacted for CSCI and ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",TRUE
